"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"47589","SN 2019tya","02:09:38.034","+01:33:06.85","SN II","0.032","","","ZTF","ZTF","ZTF","ZTF","ZTF19ablfoqa","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.9979","g-ZTF","2019-08-01 10:39:18.000","ZTF_CLU_PUBLIC","","","2019TNSTR2251....1D","2025TNSCR.101....1T","",""
"47572","SN 2019txj","10:48:39.205","+76:48:05.44","SN II","0.02273","","","ZTF","ZTF","ZTF","ZTF","ZTF19aalycsv","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.7401","r-ZTF","2019-03-14 05:21:31.000","ZTF_CLU_PUBLIC","","","2019TNSTR2251....1D","2025TNSCR.101....1T","",""
"47543","SN 2019twk","02:23:05.291","+46:52:56.66","SN II","0.0121","SDSS J022305.31+465257.1","0.014","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE, ATLAS","ZTF19aclobbu","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.1868","r-ZTF","2019-11-01 06:40:43.000","ALeRCE","","","2019TNSTR2238....1F","2019TNSCR2359....1D","",""
"47462","SN 2019tti","00:18:59.837","+08:46:28.31","SN II","0.01867","","","ZTF","ZTF","ZTF","ZTF","ZTF19abctzkc","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.7032","r-ZTF","2019-07-01 10:48:00.000","ZTF_CLU_PUBLIC","","","2019TNSTR2235....1D","2025TNSCR.101....1T","",""
"47460","SN 2019ttg","11:24:56.301","-03:48:40.79","SN II","0.0226460006","","","ZTF","ZTF","ZTF","ZTF","ZTF19aazpzuh","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.0591","r-ZTF","2019-06-15 05:02:24.000","ZTF_CLU_PUBLIC","","","2019TNSTR2235....1D","2024TNSCR3623....1T","",""
"47394","SN 2019tqt","11:46:09.226","+20:26:52.21","SN II","0.02386","KUG 1143+207","0.023856","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ALeRCE, ATLAS, ZTF","ZTF19acfsbpa","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.8994","r-ZTF","2019-10-29 12:21:59.000","ALeRCE","","","2019TNSTR2215....1F","2020TNSCR1972....1D","",""
"47375","SN 2019tqa","16:37:16.460","+35:58:32.23","SN II","0.03761","KUG 1635+360","0.037666","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ALeRCE, ATLAS, GaiaAlerts, ZTF","ZTF19acjtpmm","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","18.6758","g-ZTF","2019-10-29 02:46:55.000","ALeRCE","","","2019TNSTR2215....1F","2020TNSCR.647....1G","",""
"47146","SN 2019thi","11:15:15.320","-27:39:11.88","SN II","0.014","","","MASTER, ATLAS, ZTF, GaiaAlerts","MASTER, ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, MASTER, ZTF","MASTER OT J111515.29-273911.7","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.5","Clear-","2019-10-23 02:37:58.000","MASTER","","","2019TNSTR2168....1P","2020TNSCR1667....1D","",""
"46980","SN 2019tba","04:55:09.840","-16:09:01.30","SN II","0.019894","","","ZTF, ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF19acgzwbm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.87","r-ZTF","2019-10-22 10:58:04.000","ZTF_Bot1","","","2019TNSTR2159....1F","2019TNSCR2184....1D","",""
"46941","SN 2019szo","00:19:56.651","+15:05:36.26","SN II","0.025514","UGC 00189","0.025514","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF19acgbkzr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.0397","r-ZTF","2019-10-21 04:50:21.000","ALeRCE","","","2019TNSTR2134....1F","2019TNSCR2222....1D","",""
"46933","SN 2019szg","10:31:30.823","+12:29:35.55","SN II","0.033","CGCG 065-048","0.033246","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF19acdkzxk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.8047","r-ZTF","2019-10-20 12:27:12.000","ALeRCE","","","2019TNSTR2134....1F","2019TNSCR2230....1D","",""
"46924","SN 2019syx","00:28:02.820","-20:44:32.32","SN II","0.045","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS19yna","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","18.811","cyan-ATLAS","2019-10-21 08:08:09.000","ATLAS_Bot1","","","2019TNSTR2135....1T","2019TNSCR2369....1B","",""
