"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"6418","SN 2014bu","01:20:58.450","+21:59:59.78","SN IIP","","NGC 694         ","","","","","","","","","0","1","","15.5","","2014-06-17 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 3910; PositionRef=CBET 3910; Orig Type=IIP]","","","","",""
"6406","SN 2014bi","12:06:02.990","+47:29:33.50","SN IIP","","NGC 4096        ","","","","","","","","","0","1","","18.2","","2014-05-31 00:00:00.000","","[Discoverer=Kumar, Zheng, Filippenko (LOSS); DiscoveryRef=CBET 3892; PositionRef=CBET 3892; Orig Type=IIP]","","","","",""
"6403","SN 2014bf","15:57:35.230","+18:01:47.60","SN IIP","","MCG +03-41-7    ","","","","","","","PS1 - GPC1","","0","1","","17.4","","2014-05-22 00:00:00.000","","[Discoverer=Mo, Li, Li, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3889; PositionRef=CBET 3889; Orig Type=IIP]","","2021TNSTR.507....1A","","",""
"6401","SN 2014bd","14:50:48.070","+09:22:48.29","SN IIP","","Anon.           ","","","","","","","","","0","1","","20","","2014-04-23 00:00:00.000","","[Discoverer=Tominaga et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3884; PositionRef=CBET 3884; Orig Type=II-p]","","","","",""
"6396","SN 2014az","23:32:22.841","+15:51:10.58","SN IIP","","NGC 7691        ","","","","","","","","","0","1","","16.3","","2014-04-30 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3872; PositionRef=CBET 3872; Orig Type=IIp]","","","","",""
"6394","SN 2014ax","16:16:18.161","+64:06:06.30","SN IIP","","UGC 10318       ","","","","","","","","","0","1","","17.6","","2014-05-03 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 3867; PositionRef=CBET 3867; Orig Type=IIP]","","","","",""
"6391","SN 2014au","14:19:28.920","-05:37:36.08","SN IIP","","Anon.           ","","","","","","","","","0","1","","20.2","","2014-04-20 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3864; PositionRef=CBET 3864; Orig Type=IIP]","","","","",""
"6376","SN 2014af","08:47:21.161","+73:13:13.69","SN IIP","","Anon.           ","","","","","","","","","0","1","","15.9","","2014-02-07 00:00:00.000","","[Discoverer=Denisenko (MASTER); DiscoveryRef=CBET 3833; PositionRef=CBET 3833; Orig Type=IIP]","","","","",""
"6497","SN 2014O","10:06:47.530","-47:41:28.50","SN IIP","","ESO 263-G4      ","","","","","","","","","0","1","","16","","2014-02-02 00:00:00.000","","[Discoverer=Parker et al.; DiscoveryRef=CBET 3804; PositionRef=CBET 3804; Orig Type=IIP]","","","","",""
"6496","SN 2014N","02:30:58.910","-44:25:22.30","SN IIP","","ESO 246-G22     ","","","","","","","","","0","1","","18.5","","2014-01-27 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3798; PositionRef=CBET 3798; Orig Type=IIP]","","","","",""
"6397","SN 2014B","13:04:17.700","-10:20:01.21","SN IIP","","NGC 4939        ","","","","","","","","","0","1","","17","","2014-01-02 00:00:00.000","","[Discoverer=Kim, Zheng et al. (LOSS); DiscoveryRef=CBET 3772; PositionRef=CBET 3772; Orig Type=IIP]","","","","",""
"6370","SN 2014A","13:16:59.359","-16:37:57.00","SN IIP","","NGC 5054        ","","","","","","","","","0","1","","16.4","","2014-01-01 00:00:00.000","","[Discoverer=Kim, Zheng et al. (LOSS); DiscoveryRef=CBET 3771; PositionRef=CBET 3771; Orig Type=IIP]","","","","",""
"17013","SN 2013if","18:32:41.098","-34:11:27.23","SN IIP","","IRAS 18293-3413","0.0196","SUNBIRD","SUNBIRD","SUNBIRD","","","Other - Other","Other - Other","1","1","","18.5","K-Bessel","2013-04-21 07:52:59.000","Erik Kool"," [Object redshift updated according to host-redshift by admin]","","2017TNSTR..10....1K","2017TNSCR.737....1K","",""
"6347","SN 2013hu","11:28:07.860","-13:11:33.61","SN IIP","","NGC 3693        ","","","","","","","","","0","1","","17.4","","2013-12-28 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3776; PositionRef=CBET 3776; Orig Type=IIP]","","","","",""
"6331","SN 2013he","12:53:06.269","+36:49:00.08","SN IIP","","NGC 4774        ","","","","","","","","","0","1","","16.5","","2013-12-09 00:00:00.000","","[Discoverer=Leonini et al. (Italian Supernovae Search); DiscoveryRef=CBET 3750; PositionRef=CBET 3750; Orig Type=IIP]","","","","",""
"6329","SN 2013hc","18:03:24.590","+70:13:30.61","SN IIP","","Anon.           ","","","","","","","","","0","1","","18","","2013-10-30 00:00:00.000","","[Discoverer=Gray, Lane; DiscoveryRef=CBET 3747; PositionRef=CBET 3747; Orig Type=II-p]","","","","",""
"6323","SN 2013gx","01:02:23.270","+20:33:21.20","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.8","","2013-11-29 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3742; PositionRef=CBET 3742; Orig Type=IIP]","","","","",""
"6320","SN 2013gu","01:46:38.270","+04:13:24.38","SN IIP","","Anon.           ","","","","","","","","","0","1","","15.5","","2013-12-05 00:00:00.000","","[Discoverer=Shurpakov (MASTER); DiscoveryRef=CBET 3738; PositionRef=CBET 3738; Orig Type=IIP]","","","","",""
"6312","SN 2013gm","11:34:21.161","+15:39:33.08","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-11-20 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3726; PositionRef=CBET 3726; Orig Type=IIP]","","","","",""
"6306","SN 2013gg","09:21:08.249","+49:35:33.79","SN IIP","","UGC 4958        ","","","","","","","","","0","1","","17.9","","2013-11-05 00:00:00.000","","[Discoverer=Jin, Gao; DiscoveryRef=CBET 3705; PositionRef=CBET 3705; Orig Type=IIP]","","","","",""
"6303","SN 2013gd","03:49:05.640","-03:03:28.30","SN IIP","","MCG -01-10-39   ","","","","","","","","","0","1","","16.9","","2013-11-09 00:00:00.000","","[Discoverer=Casper, Zheng, et al. (LOSS); DiscoveryRef=CBET 3700; PositionRef=CBET 3700; Orig Type=IIP]","","","","",""
"6292","SN 2013ft","23:41:35.201","+03:43:30.50","SN IIP","","NGC 7732        ","","","","","","","","","0","1","","18.6","","2013-09-13 00:00:00.000","","[Discoverer=Fuller, Zheng et al. (LOSS); DiscoveryRef=CBET 3672; PositionRef=CBET 3672; Orig Type=IIP]","","","","",""
"6291","SN 2013fs","23:19:44.671","+10:11:04.49","SN IIP","0.011855","NGC 7610        ","","","","","","","","","0","1","","16.5","","2013-10-07 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3671; PositionRef=CBET 3671; Orig Type=IIn?]","","","","",""
"6288","SN 2013fp","05:32:07.250","-07:54:23.80","SN IIP","","IC 421          ","","","","","","","","","0","1","","19.4","","2013-09-19 00:00:00.000","","[Discoverer=Zheng et al. (LOSS); DiscoveryRef=CBET 3664; PositionRef=CBET 3664; Orig Type=IIP]","","","","",""
"6284","SN 2013fl","17:33:39.550","+50:22:25.50","SN IIP","","UGC 10908       ","","","","","","","","","0","1","","17.6","","2013-09-22 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 3660; PositionRef=CBET 3660; Orig Type=IIP]","","","","",""
"6276","SN 2013fd","01:34:00.660","-34:23:40.42","SN IIP","","ESO 353-G14     ","","","","","","","","","0","1","","18.5","","2013-08-27 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3645; PositionRef=CBET 3645; Orig Type=IIp]","","","","",""
"6264","SN 2013es","14:10:50.170","+55:25:23.99","SN IIP","","Anon.           ","","","","","","","","","0","1","","18","","2013-08-01 00:00:00.000","","[Discoverer=Xu, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3620; PositionRef=CBET 3620; Orig Type=IIP]","","","","",""
"6262","SN 2013eq","17:33:15.730","+36:28:35.18","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.5","","2013-07-30 00:00:00.000","","[Discoverer=Mikuz; DiscoveryRef=CBET 3616; PositionRef=CBET 3616; Orig Type=IIP]","","","","",""
"6239","SN 2013du","01:24:14.249","-34:43:36.41","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.5","","2013-06-23 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3579; PositionRef=CBET 3579; Orig Type=IIP]","","","","",""
