"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"130180","SN 2023jpg","08:23:52.925","-05:07:58.44","SN II","0.05","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS23lnk","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.433","orange-ATLAS","2023-05-09 01:44:15.360","ATLAS_Bot1","","","2023TNSTR1253....1T","2023TNSCR2814....1S","",""
"129988","SN 2023jid","22:40:43.226","+36:38:39.43","SN II","0.027","","","ZTF, Pan-STARRS, YSE","ZTF, Pan-STARRS","ZTF","Pan-STARRS, YSE, ZTF","ZTF23aakirso","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P200 - DBSP","1","1","","20.2052","r-ZTF","2023-04-21 11:51:45.792","ZTF_CLU_PUBLIC","","","2023TNSTR1219....1D","2024TNSCR3558....1Q","",""
"129692","SN 2023iwz","19:52:18.465","+42:53:12.11","SN II","0.01","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF23aakcbfv","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.46","g-ZTF","2023-05-17 08:42:43.200","ZTF_Bot1","","","2023TNSTR1160....1F","2023TNSCR1327....1S","",""
"129548","SN 2023irp","18:26:50.257","+25:23:58.91","SN II","0.015","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF23aajkfls","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.8","g-ZTF","2023-05-14 09:20:09.600","ZTF_Bot1","","","2023TNSTR1134....1F","2023TNSCR1195....1S","",""
"129467","SN 2023iop","00:14:42.699","+21:51:33.77","SN II","0.095","","","ZTF, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, YSE, ZTF","ZTF23aajucmw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.37","r-ZTF","2023-05-11 11:36:57.600","ZTF_Bot1","","","2023TNSTR1125....1F","2023TNSCR1780....1S","",""
"129242","SN 2023iga","00:24:32.143","+29:13:10.63","SN II","0.0162","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF23aajkjxm","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.5084","r-ZTF","2023-05-13 11:32:30.624","ZTF_CLU_PUBLIC","","","2023TNSTR1086....1D","2023TNSCR1305....1S","",""
"129073","SN 2023hzt","13:30:01.550","+75:34:09.13","SN II","0.0305","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS, ZTF","ATLAS23kfy","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.865","cyan-ATLAS","2023-05-12 10:14:08.736","ATLAS_Bot1","","","2023TNSTR1062....1T","2023TNSCR1382....1S","",""
"128961","SN 2023hvo","08:41:32.880","+22:01:36.64","SN II","0.01","SDSS J084132.91+220134.1","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS","ZTF23aaixruf","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.2362","r-ZTF","2023-05-09 04:08:48.002","ALeRCE","","","2023TNSTR1034....1M","2023TNSCR1117....1S","",""
"128803","SN 2023hpp","22:03:52.070","+20:35:02.08","SN II","0.012422","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS23jya","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.844","orange-ATLAS","2023-05-03 14:24:35.424","ATLAS_Bot1","","","2023TNSTR1000....1T","2023TNSCR1043....1S","",""
"128688","SN 2023hlf","12:26:26.179","+31:13:32.35","SN II","0.0024","NGC 4414","0.00236","ZTF, DLT40","ZTF, DLT40","ZTF","DLT40, ZTF","ZTF23aaitpjv","Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.84","r-ZTF","2023-05-01 05:41:03.840","Viraj Karambelkar","","","2023TNSTR.983....1K","2023TNSCR.990....1K","",""
