oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF25aafejer,64.36666089994833,-1.3640616655334961e+42,2.8813454158922876e+43,-0.7786966212730922,,57,162.68590279994532
ZTF25aabaanf,140.78604750009254,-5.11208114106248e+40,1.701793963697176e+42,0.4078725307747741,8.084990251199889e+50,29,142.6878587999381
ZTF25aacdilx,97.99120364990085,-6.239474932216549e+39,3.179454573263775e+41,0.03641312082143725,2.029894348201312e+49,15,102.00649299984798
ZTF25aacbtmd,97.01304980018176,-6.5515584398224465e+40,1.5266468578261074e+42,0.19583430779373925,3.6091380115559557e+50,23,98.02653940021992
ZTF25aacbsyi,62.37532989983447,-5.436343126395599e+42,-7.501069744041031e+43,0.09279009159082938,,28,97.91586809977889
ZTF25aabxywm,96.8617361499928,-2.5601181922960513e+40,4.921776801629379e+41,0.06565171969251113,4.294309247821298e+49,22,97.91783569986
ZTF24acaeozu,83.37591439974494,-1.1414564725661978e+41,-7.071260209735342e+42,0.5936665485683684,,32,83.8342129997909
ZTF24abutkox,74.74331020005047,-7.358303245050222e+43,7.227685358846244e+42,0.6746222213168366,4.1747754542534195e+51,33,107.74298610026017
ZTF24abszcqd,80.93490159977227,1.3436462886358333e+40,2.0882146127841048e+42,0.15818661846535578,5.140691006027227e+50,13,82.97123839985579
ZTF24absbvbs,65.94431709987111,1.1341497560144524e+44,-2.46338190877792e+42,0.13967911180342857,,27,66.94039350003004
ZTF24abqndnz,109.29438080010004,-1.6037614794927576e+40,3.0785124572694902e+41,0.09077010156549753,1.8426394582266454e+49,5,111.30035880021751
ZTF24abqwodi,62.89156825002283,-3.367772426097828e+39,5.469716545099047e+42,0.7233026508354435,1.5681787991209812e+51,9,64.94266200019047
ZTF24abowptn,60.90831594984047,1.1566243907531626e+41,3.1166472924907807e+41,0.6055456039009212,3.274905104012237e+48,12,64.95504629984498
ZTF24aboqfdy,68.82615159987472,-9.623864951873873e+40,3.6840361474908985e+42,0.6489598137718856,8.351899425066166e+50,34,133.77193289995193
ZTF24abnepdg,66.77718749991618,2.5041772461608973e+39,1.03661570663867e+42,0.14698789946691426,7.798401033890586e+49,15,75.75961800012738
ZTF24abltwsk,66.35462390026078,-6.905250210006694e+40,1.1725773207148738e+42,0.1036665400125162,1.1057826562868505e+50,12,76.79599540028721
ZTF24abmuhbu,86.88999419985339,-4.143594014986638e+40,1.963168954743568e+42,0.17548792663768237,5.073055911138233e+50,13,90.90039349999279
