"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"168450","SN 2024aeds","16:46:59.039","+58:25:59.32","SN II","0.017522","IC 1231","","GOTO, ZTF, ATLAS","GOTO, ZTF, ATLAS","ZTF","ATLAS, GOTO, ZTF","","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","18","Clear-","2024-12-16 16:30:00.000","Mirco Villi","","","2024TNSTR4926....1C","2024TNSCR5166....1S","",""
"168360","SN 2024aeaj","00:24:18.854","-01:38:27.69","SN II","0.037","CGCG 383-008","0.0376","SNHunt, ATLAS, ZTF, GOTO, Pan-STARRS","CRTS, ATLAS, ZTF, GOTO, Pan-STARRS","ZTF","ATLAS, CRTS, GOTO, Pan-STARRS, SNHunt, ZTF","","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.5","V-crts-CRTS","2024-12-14 03:58:10.000","Andrew Drake","","","2024TNSTR4908....1M","2025TNSCR..39....1S","",""
"168334","SN 2024adzj","02:39:53.289","+49:09:35.56","SN II","0.02","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF24abxvxpa","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4648","r-ZTF","2024-12-05 08:51:44.997","Fritz","","","2024TNSTR4910....1S","2024TNSCR5023....1S","",""
"168256","SN 2024adwj","08:00:33.743","+62:06:10.62","SN II","0.033","","","ATLAS, ZTF, GOTO, LAST","ATLAS, ZTF, GOTO, LAST","ZTF","ATLAS, GOTO, LAST, ZTF","ATLAS24rix","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.09","cyan-ATLAS","2024-12-11 14:03:22.752","ATLAS_Bot1","","","2024TNSTR4857....1T","2025TNSCR.186....1S","",""
"168169","SN 2024adta","12:16:13.440","+28:45:36.25","SN II","0.026197","","","GOTO, ATLAS, ZTF, Pan-STARRS, GaiaAlerts","GOTO, ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, GOTO, Pan-STARRS, ZTF","GOTO24iwz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.08","L-GOTO","2024-12-09 05:07:48.864","GOTO_bot","","","2024TNSTR4829....1R","2024TNSCR5009....1S","",""
"167996","SN 2024admm","03:36:06.800","-05:10:30.14","SN II","0.016","PS1 101790540289671286","","SGLF, ATLAS, GOTO, Pan-STARRS, BlackGEM","ZTF, ATLAS, GOTO, Pan-STARRS, BlackGEM","ZTF, ePESSTO+","ATLAS, BlackGEM, GOTO, Pan-STARRS, SGLF","ZTF24abwniiv","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","17.638","r-ZTF","2024-12-06 05:58:51.000","Ismael Perez-Fournon","","","2024TNSTR4784....1P","2024TNSCR4820....1S, 2024TNSCR4817....1S","",""
"167815","SN 2024adfy","02:11:25.850","+15:57:25.70","SN II","0.026702","","","BlackGEM, ATLAS, ZTF, Pan-STARRS, GOTO","BlackGEM, ATLAS, ZTF, Pan-STARRS, GOTO","ZTF","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","BGEM J021125.84+155725.7","ATLAS-HKO - ATLAS-02, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.08","BG-q-BlackGem","2024-12-03 01:52:23.000","BlackGEM_Bot1","","","2024TNSTR4737....1S","2024TNSCR4766....1S","",""
"167797","SN 2024adfg","00:00:33.406","+22:46:34.52","SN II","0.03","","","ZTF, Pan-STARRS, GOTO, ATLAS","ZTF, Pan-STARRS, GOTO, ATLAS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abvbzbd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.2735","g-ZTF","2024-12-02 06:30:13.000","Fritz","","","2024TNSTR4743....1S","2025TNSCR.489....1S","",""
"167459","SN 2024acsg","13:23:43.668","-16:21:31.82","SN II","0.027","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abuhlzm","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.0308","r-ZTF","2024-11-26 13:16:55.004","Fritz","","","2024TNSTR4700....1S","2025TNSCR..84....1S","",""
"167454","SN 2024acsb","11:36:39.355","+57:01:13.02","SN II","0.045","","","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abutkox","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.712","g-ZTF","2024-11-30 09:11:15.000","Fritz","","","2024TNSTR4699....1G","2024TNSCR5059....1S","",""
